dataset,strategy,budget,seed,downstream_model,embedding_model,macro_f1,accuracy,cost_scenario,cost_source,cost_source_url,cost_checked_at,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,temperature,prompt_version,replicate_id
ag_news,llm_annotator,50,1,tfidf_logreg,,0.2443077706929205,0.343,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.74,0.6777888777888779,0.127,0.5917096903096903,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,50,1,tfidf_logreg,,0.2443077706929205,0.343,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.74,0.6777888777888779,0.127,0.5917096903096903,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,50,1,tfidf_logreg,,0.2443077706929205,0.343,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.74,0.6777888777888779,0.127,0.5917096903096903,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,100,1,tfidf_logreg,,0.2059020150000942,0.309,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.75,0.7452384928504332,0.113,0.6610265431583342,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,100,1,tfidf_logreg,,0.2059020150000942,0.309,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.75,0.7452384928504332,0.113,0.6610265431583342,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,100,1,tfidf_logreg,,0.2059020150000942,0.309,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.75,0.7452384928504332,0.113,0.6610265431583342,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,250,1,tfidf_logreg,,0.4672655530587222,0.542,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.836,0.8315634577937437,0.037,0.8007956098553752,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,250,1,tfidf_logreg,,0.4672655530587222,0.542,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.836,0.8315634577937437,0.037,0.8007956098553752,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,250,1,tfidf_logreg,,0.4672655530587222,0.542,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.836,0.8315634577937437,0.037,0.8007956098553752,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,50,2,tfidf_logreg,,0.1954775318149945,0.297,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.88,0.8715421091297668,0.076,0.8053049088359044,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,50,2,tfidf_logreg,,0.1954775318149945,0.297,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.88,0.8715421091297668,0.076,0.8053049088359044,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,50,2,tfidf_logreg,,0.1954775318149945,0.297,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.88,0.8715421091297668,0.076,0.8053049088359044,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,100,2,tfidf_logreg,,0.3171372953956486,0.44,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.83,0.8232521349765074,0.044,0.787029041037541,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,100,2,tfidf_logreg,,0.3171372953956486,0.44,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.83,0.8232521349765074,0.044,0.787029041037541,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,100,2,tfidf_logreg,,0.3171372953956486,0.44,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.83,0.8232521349765074,0.044,0.787029041037541,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,250,2,tfidf_logreg,,0.4832725589275108,0.529,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.844,0.8470541055995602,0.0307999999999999,0.8209648391470937,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,250,2,tfidf_logreg,,0.4832725589275108,0.529,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.844,0.8470541055995602,0.0307999999999999,0.8209648391470937,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
ag_news,llm_annotator,250,2,tfidf_logreg,,0.4832725589275108,0.529,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.844,0.8470541055995602,0.0307999999999999,0.8209648391470937,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
banking77,llm_annotator,50,1,tfidf_logreg,,0.0204868425842296,0.03,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.58,0.2708719851576994,0.297,0.1904230055658627,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
banking77,llm_annotator,50,1,tfidf_logreg,,0.0204868425842296,0.03,high,not estimated,,,0.4283999999999999,0.0,0.0,0.0,0.0,0.58,0.2708719851576994,0.297,0.1904230055658627,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
banking77,llm_annotator,50,1,tfidf_logreg,,0.0204868425842296,0.03,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.58,0.2708719851576994,0.297,0.1904230055658627,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
banking77,llm_annotator,100,1,tfidf_logreg,,0.0415968171029257,0.091,base,not estimated,,,0.0951999999999999,0.0,0.0,0.0,0.0,0.65,0.4652752009894866,0.2239999999999999,0.3610535559678416,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
