dataset,seed,model_name,rows_total,rows_with_recorded_tokens,input_tokens,output_tokens,total_tokens,input_usd_per_million_tokens,output_usd_per_million_tokens,api_cost_usd,price_checked_at,price_source_url
ag_news,1,gpt-4o-mini,250,250,68923,10841,79764,0.15,0.6,0.01684305,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
ag_news,2,gpt-4o-mini,250,250,69268,10870,80138,0.15,0.6,0.0169122,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
banking77,1,gpt-4o-mini,250,249,277297,11128,288425,0.15,0.6,0.04827134999999999,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
banking77,2,gpt-4o-mini,250,249,277463,11124,288587,0.15,0.6,0.04829384999999999,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
emotion,1,gpt-4o-mini,250,250,60220,10943,71163,0.15,0.6,0.0155988,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
emotion,2,gpt-4o-mini,250,250,60074,10920,70994,0.15,0.6,0.0155631,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
financial_phrasebank,1,gpt-4o-mini,254,249,54492,10251,64743,0.15,0.6,0.014324399999999998,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
financial_phrasebank,2,gpt-4o-mini,255,250,54717,10203,64920,0.15,0.6,0.01432935,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
rotten_tomatoes,1,gpt-4o-mini,250,250,52727,10637,63364,0.15,0.6,0.014291249999999998,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
rotten_tomatoes,2,gpt-4o-mini,250,250,52900,10641,63541,0.15,0.6,0.014319599999999998,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
sst2,1,gpt-4o-mini,251,250,52286,10634,62920,0.15,0.6,0.0142233,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
sst2,2,gpt-4o-mini,250,250,51502,10750,62252,0.15,0.6,0.014175299999999998,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
trec,1,gpt-4o-mini,250,250,61392,10625,72017,0.15,0.6,0.015583799999999998,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
trec,2,gpt-4o-mini,250,250,61433,10620,72053,0.15,0.6,0.015586949999999999,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
tweet_eval_sentiment,1,gpt-4o-mini,250,250,57657,10125,67782,0.15,0.6,0.014723549999999998,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
tweet_eval_sentiment,2,gpt-4o-mini,250,250,57484,10208,67692,0.15,0.6,0.0147474,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
twenty_newsgroups,1,gpt-4o-mini,250,250,231468,10484,241952,0.15,0.6,0.0410106,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
twenty_newsgroups,2,gpt-4o-mini,250,250,251752,10481,262233,0.15,0.6,0.04405139999999999,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
yelp_polarity,1,gpt-4o-mini,250,250,89509,10038,99547,0.15,0.6,0.01944915,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
yelp_polarity,2,gpt-4o-mini,250,250,89053,10015,99068,0.15,0.6,0.019366949999999997,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
